id,pos,flr,flg,eg,er,fg,op
739,333,724,982,0.2209,7.09024,0.510343,48.0769
740,6,493,432,1.0,40.568,2.55187,0.0
741,61,435,407,0.7801,25.0421,3.86378,45.1515
742,60,632,623,0.8224,26.3977,2.45552,52.0522
743,20,411,468,0.4973,15.9638,-4.59504,29.1005
744,291,492,30,0.2775,8.90921,0.446429,33.4802
745,38,611,577,0.7537,24.1953,0.242689,78.5194
746,180,1500,284,0.2486,7.98095,10.0,0.0
747,456,960,1200,0.4907,15.7523,10.0,15.0794
748,410,1300,403,0.2322,7.45299,1.50602,47.6619
749,40,480,621,0.6714,21.5509,1.98558,43.4911
750,5,510,398,1.0,32.451,3.43022,12.7168
751,2800,8400,5600,0.3835,5.63781,0.859,92.1137
752,119,278,638,0.3131,10.052,1.97981,50.9259
753,10,796,7200,0.5411,17.3681,-2.49035,95.3935
754,36,410,750,0.1769,5.67751,1.32467,61.3065
755,58,628,3988,0.1152,3.69781,1.67,49.5798
756,31,779,648,0.1297,4.16488,1.9656,38.5714
757,15,179,403,0.4647,14.9162,1.44135,57.5472
758,132,903,1000,0.2331,7.48123,1.34731,22.4138
759,29,218,2300,0.3835,12.3089,-0.703803,0.0
760,1,301,414,0.5796,18.6047,0.685501,32.0755
761,11,885,1700,0.273,8.7622,4.14157,90.0277
762,48,166,1500,0.2307,7.4061,10.0,61.9048
763,20,546,7400,0.18,5.77756,-0.352655,63.5762
764,708,1500,3840,0.0388,1.24444,0.8087,21.4286
765,36,180,108,0.1538,4.93827,-0.298063,75.0
766,14,180,1000,0.5538,17.7778,0.0991703,37.1429
767,851,6200,7500,0.0102,0.149641,0.581395,69.6629
768,86,255,317,0.1928,6.18736,2.02745,54.2169
769,295,2000,3400,0.1244,3.99444,10.0,41.6084
770,3,388,2200,0.2141,6.87285,4.22853,41.0256
771,13,1500,7500,0.4564,14.6518,4.57317,58.2192
772,45,645,3000,0.0448,1.43842,6.45508,34.375
773,57,3100,6200,0.0493,0.888046,0.8731,67.7966
774,159,564,150,0.2878,9.23956,2.01963,40.0
775,62,1500,7300,0.1127,3.61852,10.0,80.6742
776,551,3400,5500,0.0871,1.56699,1.75953,48.4009
777,531,4900,2400,0.0023,0.0408163,-1.00626,0.0
778,58,4100,5400,0.1377,2.47832,-0.438212,31.7479
779,1100,12100,4800,0.0162,0.17539,0.596303,37.5
780,27,349,1600,0.3858,12.3846,-0.688705,99.7567
781,173,631,84,0.3563,11.4369,4.67857,32.2275
782,1400,1200,1900,0.2028,6.50926,1.1921,16.5644
783,9,76,346,0.7287,23.3918,-0.898204,40.0
784,287,980,4100,0.2986,9.58617,0.0915751,18.0124
785,230,445,1700,0.1392,4.46795,10.0,35.6322
786,193,272,2400,0.084,2.69608,10.0,61.9048
787,90,1900,7500,0.0434,1.39181,6.45439,40.2685
788,1800,1800,4200,0.0083,0.265432,2.20588,52.6316
789,78,1700,7400,0.0265,0.851211,1.14329,67.2414
790,71,1200,4700,0.0483,1.55093,1.328,63.964
791,37,10200,4688,0.305,3.29357,-0.1765,82.716
792,423,875,3500,0.0465,1.49206,10.0,25.0
793,572,1900,7200,0.0138,0.44152,10.0,33.3333
794,22,9200,4900,0.2239,3.29076,0.214072,31.0165
795,867,1900,7300,0.0255,0.818713,1.0352,89.2857
