id,pos,flr,flg,eg,er,fg,op
200,33,73,606,0.1588,5.09893,-0.2457,66.6667
201,95,1200,6300,0.1327,4.25926,1.64294,48.8636
202,29,246,1100,0.617,19.8058,1.78571,82.7586
203,1,241,353,0.879,28.2158,-0.390869,35.2941
204,60,216,639,0.484,15.535,10.0,69.2308
205,66,680,36,0.2451,7.86764,2.22724,41.1215
206,27,283,513,0.1829,5.86965,10.0,44.086
207,144,896,2000,0.2498,8.01711,1.47531,42.2897
208,128,1800,5500,0.2825,9.06746,0.6635,44.8071
209,22,186,842,0.2447,7.85544,1.4878,52.8736
210,2,26,29,0.5991,19.2308,1.4268,50.0
211,16,210,597,0.3036,9.74603,-0.894139,72.8814
212,35,2200,6600,0.0411,0.739899,1.3074,71.8182
213,140,1200,7500,0.0316,1.01389,1.5949,56.8627
214,3800,5100,2500,0.0044,0.0642702,1.4417,33.3333
215,101,1900,4500,0.1132,3.63313,2.07612,31.2597
216,38,13400,6500,0.236,2.54851,1.4388,52.1363
217,59,403,1100,0.2894,9.2897,1.38464,41.206
218,33,553,2800,0.1765,5.66607,1.11336,87.7551
219,124,651,5000,0.097,3.11487,1.27171,59.5506
220,234,13300,7300,0.02,0.216374,-0.132474,39.8438
221,213,1700,6000,0.027,0.866012,2.32558,55.102
222,147,841,3300,0.0696,2.23279,0.92763,17.3469
223,24,1100,3400,0.0354,1.13636,0.5969,0.0
224,19,733,4300,0.11,3.53191,1.98161,74.2857
225,472,542,2500,0.0262,0.840508,7.97074,46.6667
226,251,532,2765,0.0514,1.64996,1.5703,10.8696
227,100,5700,4800,0.0184,0.270468,1.1605,78.5714
228,1900,706,1700,0.2339,7.50708,5.7177,33.9181
229,50,3300,2140,0.8233,14.82,-0.519,42.5629
230,304,1600,7500,0.1154,3.70417,10.0,24.7788
231,29,1100,4900,0.1414,4.53896,9.25422,63.3663
232,3,1500,2580,0.5836,18.7333,1.2968,77.7778
233,40,466,1600,0.2668,8.56418,2.92942,58.7786
234,30,1200,3800,0.2628,8.43518,1.62338,49.375
235,463,2100,6200,0.2745,4.9418,0.9878,30.5785
236,150,1900,6800,0.2367,7.59649,4.73373,61.6667
237,661,1700,3200,0.2354,7.55709,0.6306,33.9066
238,70,1200,6900,0.2756,8.84722,3.93956,50.4386
239,41,1200,4100,0.304,9.75758,1.64294,46.056
240,57,787,2300,0.5324,17.0902,1.06382,39.0863
241,10,85,111,0.8649,27.7647,0.2113,42.029
242,196,2600,6100,0.0934,1.68162,1.49701,38.0228
243,89,2500,4300,0.3507,6.31333,1.53453,55.3826
244,8,1900,1200,0.3037,9.75,-0.914634,52.8771
245,43,1500,4659,0.4238,13.6051,0.7307,51.75
246,28,1400,206,0.9483,30.4412,1.3819,44.4996
247,29,1500,1200,0.244,7.83333,1.284,99.0809
248,5,1500,1100,0.2887,9.26667,1.2965,44.3709
249,62,1400,6600,0.2335,7.49405,3.01205,45.3875
250,6,222,442,0.4982,15.991,-0.08203,30.5882
251,66,2300,3000,0.4818,8.6715,1.7316,38.5507
252,22,923,4100,0.3346,10.7414,0.2767,83.8068
253,13,3600,7042,0.781,14.0577,0.5133,53.4323
254,26,2000,4500,0.3716,11.9294,4.51807,46.8625
255,1,938,3100,0.1096,3.51812,-0.578164,76.6667
256,6,1800,3200,0.2613,8.38889,1.07604,56.3636
257,133,1400,3500,0.2521,8.09127,1.40713,42.766
258,53,2400,6795,0.3841,6.91435,1.4001,43.6275
259,8,2300,5900,0.8092,14.5652,0.8908,99.3884
260,142,1900,1600,0.4166,13.3743,1.01626,0.0
261,214,412,1600,0.5306,17.0307,2.47253,34.5946
262,1200,1800,7400,0.0043,0.138889,1.10294,27.2727
263,2,311,1400,0.9917,31.8328,1.63968,83.9695
264,103,2500,2400,0.188,3.38462,-0.749251,0.0
265,65,154,482,0.145,4.65368,10.0,26.6667
266,172,3000,6600,0.1642,2.95555,0.619451,21.2919
267,295,539,3600,0.1539,4.9397,2.92398,0.0
268,193,3500,2300,0.0508,0.914286,-0.511247,79.8319
269,105,1800,6900,0.3487,11.1944,0.5984,51.9802
270,1200,8900,5700,0.037,0.544569,0.866113,73.5135
271,6,242,2300,0.0322,1.03306,1.1371,80.0
272,24,1000,4800,0.1769,5.67778,0.952,99.8168
273,20,634,2,1.0,35.2463,-0.0545316,30.9859
274,120,1500,1500,0.2402,7.71111,1.3885,27.5248
275,243,687,652,0.8009,25.7076,2.74284,85.9107
276,71,441,192,0.4246,13.6306,0.124533,49.2806
277,6,283,450,0.9852,31.6254,1.90606,34.1969
278,27,3700,1800,0.6094,10.97,-0.932401,38.0984
279,25,414,346,0.6892,22.1228,0.928563,0.0
280,188,718,3000,0.3076,9.87311,-0.0756525,39.9441
281,96,299,1300,0.2773,8.90003,0.496833,55.5556
282,59,1100,1400,0.436,13.9949,10.0,29.2343
283,194,681,1200,0.4064,13.0445,0.603324,45.5285
284,33,339,1300,0.0781,2.50737,4.31321,36.3636
285,37,375,502,0.6249,20.0593,0.933707,36.7003
286,195,1900,6400,0.2219,7.1228,1.084,22.0532
287,11,282,1400,0.2862,9.18763,1.04683,64.539
288,314,1300,4100,0.2291,7.3547,1.0747,26.6881
289,39,1400,1900,0.188,6.03571,0.5557,0.0
290,2,108,204,0.5769,18.5185,4.23472,21.4286
291,647,12700,905,0.1075,1.16072,-0.271998,51.7007
292,85,1500,1500,0.0513,1.64706,0.6547,55.6338
293,6,1500,7074,0.3011,9.66667,1.2459,0.0
294,68,1500,6900,0.1771,5.68518,1.0889,76.2004
295,981,2400,4200,0.01,0.180556,0.9502,36.3636
296,187,215,697,0.2165,6.9509,-0.906942,74.0741
297,7,474,1500,0.108,3.46594,8.53559,59.4595
298,46,640,389,0.7496,24.0625,2.05534,41.8944
299,177,262,249,0.4578,14.6947,-2.76415,52.9412
300,8,193,57,0.3349,10.7513,10.0,31.9149
301,64,219,305,0.3732,11.9796,0.163608,39.4495
302,5,90,45,0.6715,21.5555,-0.392876,29.5455
303,22,10000,1600,0.175,2.57267,-1.51041,75.9508
304,30,65,55,0.6683,21.453,-0.536241,67.4699
305,26,348,364,0.3163,10.1533,2.443,69.9588
306,51,347,487,0.7846,25.1841,0.54281,50.0
307,31,1300,1500,0.4814,15.453,1.50602,59.5238
308,21,1800,822,0.2228,7.15278,1.09609,31.8735
309,37,1000,644,0.2835,9.1,0.288642,64.9886
310,240,1100,7200,0.0916,2.93939,3.12196,78.9474
311,10,1100,847,0.5579,17.9091,0.6912,32.7083
312,22,1300,1400,0.5774,18.5342,1.49701,41.9355
313,235,1200,7400,0.1686,5.41204,10.0,85.1097
314,39,527,899,0.4708,15.1133,1.38128,0.0
315,38,195,207,0.7978,25.6109,4.19719,45.3125
316,71,475,920,0.5207,16.7134,0.428438,33.4405
317,14,392,363,0.8497,27.2763,0.574163,45.5331
318,26,884,766,0.7898,25.3519,0.491653,23.5808
319,34,207,560,0.4038,12.963,1.20378,47.651
320,32,640,903,0.2896,9.29688,0.58651,29.6552
321,218,681,4700,0.0653,2.09659,-0.515615,56.7568
322,16,1000,403,0.2357,7.56667,1.2961,33.5196
323,38,1100,1900,0.211,6.77272,1.86335,30.662
324,292,1300,1706,0.4419,14.1838,1.34,48.3051
325,102,539,910,0.314,10.0804,0.3376,18.8482
326,226,1500,209,0.3408,10.9412,0.9309,95.0936
327,364,819,965,0.5198,16.687,0.801968,20.1439
328,86,251,258,0.322,10.3364,-0.285205,46.9799
329,314,902,841,0.211,6.77384,0.281532,12.2066
330,413,2000,1015,0.3461,11.1111,1.366,20.1613
331,95,794,1100,0.4425,14.2037,2.0089,17.801
332,16,444,2500,0.2381,7.64358,0.913719,0.0
